DOC ID,Statement,Cause Factor,Effect Factor,Challenge / Solution
291,"That's why for us, we go ahead and go down to the villages and open up these accounts, but in actual sense, these accounts are supposed to be opened in the banking hall.",mobile outreach service delivery (going to villages),community account opening for water user fees,Solution
291,"once these people are given a thorough training, meeting them, or giving like sensitization through radios adverts, and these people have to know more about the importance of this institution",community training and face-to-face sensitization meetings,community knowledge of water services institution,Solution
291,"If you sensitize them properly, like putting adverts or going out there in media and giving these talk shows, maybe some of them may be - may get this noted.","media sensitization (adverts, talk shows)",community awareness of water services,Solution
291,there are communities that they don't know that people exist,community ignorance of water service provider,community engagement with water services,Challenge
291,"when you move out there on the media, like use of radio stations, prominent radio stations in Lusoga, I think you can beat up that - that problem of ignorance.",local radio stations (Lusoga language),community awareness of water services,Solution
291,"if you could go down to the LC1s, this one can help. Instead of using the LC3, sometimes these people are very busy, but those people down in the villages, they also want chairpersons",LC1 chairperson engagement,preventive maintenance reach in villages,Solution
291,"Instead of using the LC3, sometimes these people are very busy",LC3 council busyness,service coordination effectiveness,Challenge
292,implementing partners that come on to help us to improve the water provision within the district,implementing partners,water provision,Solution
292,Whave Solutions that came in as a project you've helped communities to learn how to pay their own money and also maintain their water facilities,Whave Solutions,community payment practices,Solution
292,helped communities to learn how to pay their own money and also maintain their water facilities. So the water facilities don't break up so soon,community payment practices,water facility maintenance,Solution
292,much as they break down there's always money that's contributed by communities to let the water to always run,community water payments,water facility functionality,Solution
292,"where we don't have the Whave Solutions at that side, there's always a problem of accountability",Whave Solutions presence,accountability in water user committees,Challenge
292,basically where these water user committees are...the people will not always show where the money is going,accountability in water user committees,financial transparency,Challenge
292,"there's always a problem of accountability, the people will not always show where the money is going. And so the communities will lose trust within the committees",accountability in water user committees,community trust,Challenge
292,"communities will lose trust within the committees, and you find that when a water source is broken there's always a problem, a challenge of bringing the water back to the people for the service",community trust in committees,water service restoration,Challenge
292,people are banking their own money and they know where this money is going,community savings banking,financial transparency,Solution
292,"a water user pays 1,000 shillings maybe in a month for maybe keeping the account running in a way that when a water source is broken there's always money that can be used to service the source",user fee collection,maintenance funding,Solution
292,when we look at the money that's contributed by the communities and it is banked at the district at times it isn't enough to maintain the water sources,community contributions,maintenance funding adequacy,Challenge
292,if the district can come up with a...ordinance that communities...come up with a particular amount of money...maybe it can make it a uniform fee that it is known by everyone,district ordinance on water fees,uniform fee collection,Solution
292,maybe in a home each home should pay this amount of money for sustainability purposes...if it is made as an ordinance at that level it can help,uniform fee collection,maintenance funding adequacy,Solution
292,"if Whave is working only in a few communities, if they can extend even to other communities and maybe we've a similar work being done in the other communities it can also help",Whave Solutions coverage,water sustainability,Solution
292,this mechanism works a lot because the hand pump mechanic will ensure that the water source is functional at all times,preventive maintenance,water source functionality,Solution
292,if the water source is broken down at any one particular time or isn't running for a day the water pump mechanic will not be paid. So this person will ensure that the water source is functional at all times,performance-based mechanic payment,mechanic accountability,Solution
292,you pay someone after this someone has done a service...the water pump mechanic will not be paid [if source down]. So this person will ensure that the water source is functional at all times,mechanic accountability,water source functionality,Solution
292,"we should continue sensitizing the communities as we do the mobilization...those communities that think that you aren't doing good work there's something that's lacking for them to know, so...with time things can work out",community sensitization and mobilization,community acceptance of water services,Solution
293,What is working well because the Water User Committees are fully functional.,functional Water User Committees,water source sustainability,Solution
293,The community members are contributing willingly and payments...through measures such as bylaws and the...constitution.,bylaws and constitution,community willingness to pay,Solution
293,"some communities are failing to - to work with, like Whave, others are - they are not willing to do - to contribute",community willingness to collaborate with Whave,borehole maintenance,Challenge
293,others are - they are not willing to do - to contribute,community willingness to contribute,water source maintenance,Challenge
293,"Some boreholes, they leave them with children, so they are misused.",adult supervision of boreholes,borehole misuse,Challenge
293,"And then there's misuse, the boreholes. Some boreholes, they leave them with children, so they are misused.",borehole misuse,borehole functionality,Challenge
293,You need to tighten the bylaws...the ones who use the water sources.,bylaw enforcement,community compliance with water use rules,Solution
293,we need to continue us mobilization and sensitization of the community on how to use those water sources,community mobilization and sensitization,proper use of water sources,Solution
293,communities are in position to use like the borehole for the whole year without breaking,preventive maintenance,borehole functionality,Solution
293,"Whave should do - continue to follow the technical personnel at the sub county, like the CDO, the health assistant, because we can mobilize the communities well.",Whave collaboration with sub-county technical staff,community mobilization,Solution
294,when we give them water to make sure that O&M is done quarterly,O&M quarterly maintenance,water service sustainability,Solution
294,"routine checking like we can make it that after six months we have to go back and check on those sources to see whether; are they still working, are they broken, what's the problem, why are they broken",routine source checking,identification of source problems,Solution
294,"the water user committee they eat people's money like the community money, it's always eaten",WUC misappropriation of community funds,O&M fund availability,Challenge
294,people sometimes they don't want to contribute towards O&M,community willingness to contribute to O&M,O&M funding,Challenge
294,we don't pay them to do that work they volunteer to do it...these people they need to be given something like incentives like the water user committees to keep them,payment for WUC volunteers,WUC volunteer continuity,Challenge
294,if we can get something maybe like Whave they've been giving out T-shirts if you can give out T-shirts to those people they'll feel proud and then they'll continue their work,volunteer incentives,WUC volunteer motivation,Solution
294,if you can give out T-shirts to those people they'll feel proud and then they'll continue their work,WUC volunteer motivation,WUC continuity,Solution
294,"the amount of money they're paying per year is high than their income, so I think Whave maybe they can reduce on the money they collect from each and every water source",service fee level relative to income,community willingness to pay,Challenge
294,Whave maybe they can reduce on the money they collect from each and every water source,service fee reduction,community participation in water services,Solution
294,"hand pump mechanics they're on ground but they need people, they need experts also to go there and check because like those guys they're from the same village",expert oversight of HPMs,maintenance quality,Solution
294,those guys they're from the same village and sometimes also the HPM they need to fetch money from those guys and they can go and repair a water source and then they put there an old machine,HPM community embeddedness,HPM accountability,Challenge
294,the HPM they need to fetch money from those guys and they can go and repair a water source and then they put there an old machine whereby the spares when they're too old they'll break,HPM financial conflict of interest,spare parts quality,Challenge
294,with Whave you pay whatever source whenever the source is working and like this person when he has gone to repair that source he just makes sure that the water is coming such that for him he has to get his money from Whave,payment-for-performance model,repair thoroughness,Solution
294,"Whave has done a very good job in Kamuli as a whole district because for them they're handling even district water sources, while Busoga Trust has been handling only Busoga Trust sources",Whave preventive maintenance program,district water service coverage,Solution
294,as per now we've also started handling even the district water sources whereby they're very expensive and sometimes we don't have the funds,district water source rehabilitation cost,available maintenance funding,Challenge
294,Other than doing that Whave is doing alone and then Busoga Trust is doing alone. If we can sit together and find out like if you go to the field and find that the village A is complaining,organizational silos between Whave and Busoga Trust,problem resolution capacity,Challenge
294,"We need to sit as stakeholders and find a solution...If we can sit together and find out like if you go to the field and find that the village A is complaining about Whave, village B is complaining about Busoga Trust",inter-organizational stakeholder coordination,service improvement,Solution
294,"their water sources they don't even break down they only do little service they don't even fix the spare parts, so like they're saying that 250 that's too much for them",visible repair activity,community acceptance of service fee,Challenge
294,the community wants us to do all the other things while their money is just there kept they're waiting for a breakdown that's when they'll know that their money has worked,community understanding of preventive maintenance value,acceptance of service fee,Challenge
294,"it needs more sensitization in those communities such that these people they're aware that the 250 isn't only for the spares and what it gathers also for this, this and this because like those people they don't know",community sensitization about service components,community understanding of fee value,Solution
294,"it needs more sensitization in those communities such that these people they're aware that the 250 isn't only for the spares and what it gathers also for this, this and this because like those people they don't know",community understanding of fee value,willingness to pay for services,Solution
295,"once we mobilize them, they contribute the co-funding money for the maintenance then we can sustain water sources in Kamuli District",community mobilization,community contribution to maintenance fund,Solution
295,"once we mobilize them, they contribute the co-funding money for the maintenance then we can sustain water sources in Kamuli District",community contribution to maintenance fund,water source sustainability,Solution
295,we need to mobilize the community and we need to train them... we need to conduct dialogue meeting with them,community training on O&M,O&M capacity,Solution
295,"the water user committees they're old, they're expired... other committees they've stayed for more than 10 years, and these days you may find only one person the chair person managing the water source",water user committee term expiry,effective committee management,Challenge
295,The major problem is; one it's about collecting money for maintenance,maintenance fund collection,infrastructure maintenance,Challenge
295,the water user committees they're fond of 'eating' community money,water user committee embezzlement,community maintenance funds,Challenge
295,the hand pump mechanics they're very few... for conducting major and minor repairs,hand pump mechanic availability,repair capacity,Challenge
295,the hand pump mechanics they're very expensive for conducting major and minor repairs,hand pump mechanic cost,repair affordability,Challenge
295,if we can get some facilitation from Whave Solutions we can go and meet the water user committees and train them,external facilitation,water user committee training,Solution
295,we have the boreholes which aren't functional we may not know them by number but once we get some facilitation we can move around and we collect that data for repair of those boreholes,external facilitation,data collection on non-functional boreholes,Solution
295,once we get some facilitation we can move around and we collect that data for repair of those boreholes,data collection on non-functional boreholes,borehole repair,Solution
295,"The most important is creating awareness, community awareness about operation and maintenance of their water sources",community awareness on O&M,water source sustainability,Solution
295,"to reselect to organize reselect of user water committees new water user committees because the water committees they're almost not there, there's only one chairperson possibly and the treasurer, the rest aren't there",water user committee re-election,committee functionality,Solution
295,"the water committees they're almost not there, there's only one chairperson possibly and the treasurer, the rest aren't there",incomplete water user committee,water source management,Challenge
295,it is better we use the technical people at sub county level whereby even though Whave Solution will leave those technical officers will remain there because it's our day to day activity maintaining water sources,technical sub county staff involvement,sustained technical capacity,Solution
295,"you're using the municipality chiefs, is using the councilors which aren't technical... you may receive some resistance from other sub counties because one party isn't aware what's going on",non-technical municipal implementers,local technical staff exclusion,Challenge
295,once the district constructs the borehole after construction they commission and they hand over to the community members... they've been waiting for the borehole to breakdown before they maintain. So we haven't been conducting preventive maintenance.,district borehole handover without maintenance guidance,reactive maintenance approach,Challenge
295,"we need to bring the technical people like the health inspectors, health assistants and CDOs on board, we facilitate them, they go and train the community members to appreciate the need for preventive maintenance",health inspector and CDO involvement,community training on preventive maintenance,Solution
295,they go and train the community members to appreciate the need for preventive maintenance of their boreholes,community training on preventive maintenance,preventive maintenance adoption,Solution
295,one of the ways the water is contaminated is through those soak pits... water keeps infiltrating downwards sometimes it reaches the water table before it's well filtered and it contaminates the water down there,soak pits near boreholes,groundwater contamination,Challenge
295,Some of the results we've been receiving from the quality testing have informed our decision to begin making sure those soak pits aren't,water quality testing,soak pit closure decision,Solution
295,"these committee members they're reaching the health assistants to find out what's going on, the health assistants they're saying for us we don't know even those people we don't know them",health assistant program exclusion,sub county community resistance,Challenge
295,"we've a standby mechanic that mechanic doesn't wait for the source to break down, our concept is don't wait for it to break for us we repair the source as you pump",standby mechanic,timely preventive repairs,Solution
295,even something that would be a big problem we repair it before it becomes a big problem,preventive maintenance,major borehole breakdowns,Solution
295,the district has started even giving us some of their spares to fit into their water sources... the district can come up and bridge in that gap of 200,Whave-district collaboration,district spare parts contribution,Solution
296,"capital expenditure...to replace the motor could cost up to 2 million shillings. The community can't have money to replace that...Communities are unable to cover expenditure that is around 500,000 shillings",community financial capacity,capital expenditure coverage,Challenge
296,"the system breaks down and it's not serving people. Once it is not serving people, they are not getting the revenue that they require to run the system",system functionality,revenue collection,Challenge
296,"best thing it can take is even maybe up to one year because it has to be budgeted for, it is approved, once it is approved the money is released so it is a whole process",government budget cycle,timely repair,Challenge
296,"when they stall, issues such as vandalism start coming up, because once people see that the facilities are not operational, there are some people in the community who start stealing things like the spare parts or pipes",project stalling,vandalism,Challenge
296,somebody will go and start maybe removing one panel or two panels then after two or three years you find then that project becomes so dilapidated to even return it to what it used to be becomes a challenge,vandalism,infrastructure condition,Challenge
296,"Organizations can bring in certain technologies but the capacity to manage, maintain and repair is not there",local technical capacity,technology maintenance,Challenge
296,it's one or two companies that can come and repair so the community does not have the capacity to repair or maintain them...Getting these companies to come on the ground requires money and resources,specialized imported technology,repair accessibility,Challenge
296,"it costs so much for the NGO developer which are things that if proper documentation was done, it would be a bit easier for them to come and help",project documentation,developer investment costs,Challenge
296,if a borehole does not have a completion report or a certificate from WRA it is an illegal borehole and if does not have a quality water report that means you could be providing water to people which is of poor quality,borehole completion documentation,borehole legal status,Challenge
296,if the county does not even have money to pay for example salaries for county officials...they are not able to perform as expected,county salary payment,county official field performance,Challenge
296,"60% or 70% of it goes to operational cost...if you are left with let's say 30% of 700 million, that is about 200 million and that is for the whole county",county budget operational costs,county water infrastructure investment,Challenge
296,"the committee is thrown out and a new committee is brought in...you have built the capacity of these people, and start all over again with these new people",political interference in community committees,capacity building investment,Challenge
296,"if it's in Mutomo and there is drought, everyone will come and get water from that one project...a project was designed to serve let's say 5000 people it will end up serving maybe 10000 or 20000 people together with their livestock",drought,water demand on systems,Challenge
296,they will have to over pump the water. This means that the generator will breakdown because it is overstressed so when those systems or projects become overstressed due to drought then they can also easily breakdown,system overload,infrastructure breakdown,Challenge
296,"when it rains there is not much revenue, because people will use the water from the rains so you find that like right now the projects are not collecting any money from users. Sales usually go so low that the schemes collect zero at the kiosks",rainfall season,water revenue collection,Challenge
296,a lot of focus is put into monies to support WSPs who are urban and you forget about rural...A huge chunk of the budget allocation might go to the urban WSPs yet Kitui is massive and they only cover a small part,budget allocation to urban WSPs,rural water funding,Challenge
296,We have been training the schemes on financial management and there is what we call a business plan. Under the business plan there is something we call forecasting.,financial forecasting,scheme financial sustainability,Solution
296,it is very important to work with people who are willing to work with you so there is that willingness or sometimes it's called ownership by the community,community ownership,project success,Solution
296,we used to do some contracts with the committees so they sign the contract and agree to adhere to certain principals like transparency,governance contracts with committees,committee transparency and accountability,Solution
296,we recommend that they hire young people trained in water issues. We recommend someone from the local community to support in managing the system and looking at records,trained project manager,project management quality,Solution
296,"if there is support for these models at a high level, even at a low level, they will have to conform so these models once they are appreciated by the county...there will be easy adoption",county government support for management models,management model adoption,Solution
296,"If there is a pool of funds that can be set up where investors or supporters like NGOs and others can chip in and it is well managed, that pool of finance, can do very well",pooled finance from NGOs and investors,project funding,Solution
296,"banks have been hesitant because of things such as collateral or security...CBOs or self-help groups...cannot say those assets are theirs so if they don't repay, the bank cannot come and take the pump",asset collateral,bank financing for community water projects,Challenge
296,it is always best to look at the solutions very well before you adopt. That is the main solution and also implementation of that technology,technology assessment prior to adoption,technology sustainability,Solution
296,we gave what we call a defects liability period of 6 months where 6 months after the project has been implemented...you as the contractor and project implementer are still responsible to come and repair or replace,defects liability period contract,community technology capacity,Solution
296,it's a very simple system that is sustainable because once you mix the chemicals in one container the pump itself uses the pressure of the water...Simple technologies that can be easily adopted,simple locally maintainable technology,operational sustainability,Solution
296,"most of us if we don't put the governance aspect right even if you put financial investments, the governance issues will still remain so that's where the models are also coming into place in terms of governance and sustainability",governance,project sustainability,Solution
296,"we can attribute our success to having invested a good amount of money in projects. Even if we were to train the committees...if we did not give them the money to invest in the projects like we did, there would still not be much success",infrastructure investment,project success,Solution
296,"instead of training or telling the rural water projects to manage the systems the way they used to manage them before...look at it as a business where you will have to put records so that you see that okay, I am selling this water at this much",WASH enterprise business management approach,scheme financial sustainability,Solution
296,"mentorship and coaching is when we train them we go back on the ground to check if they are doing their business plans, how are they implementing those business plans and if they have any challenges on the ground",coaching and mentorship,capacity building effectiveness,Solution
296,if somebody removes a project manager or a certain person from the community scheme then it becomes a legal issue because it is under policy and the county has said that all rural projects...have to have project managers,water policy,project governance accountability,Solution
296,removing maybe features like electricity to solar maybe to reduce the cost...we used to call them triggers or those things that you just put into place and now it causes a chain reaction,solar energy adoption,operational costs,Solution
296,"with that small training and with infrastructure support, now there will be a big shift but if you don't do that they would have come and supported projects and then they are wondering why the results are not working out",combined capacity building and infrastructure investment,project success,Solution
297,high non-functionality for equipped sources...the effect of high non-functionality on sustainability is the fact that then you still have a section of the county population...lagging behind basically with no access,source non-functionality,population access to water services,Challenge
297,there is no strong mechanism that holds the service provider into account...because of lack of performance management then no one is held into account for poor service delivery,performance management,service provider accountability,Challenge
297,no one is held into account for poor service delivery so if there is a breakdown...it's up to the service provider to decide when to get the issues sorted out and there is no one to tell them,service provider accountability,service delivery,Challenge
297,the county sector relies heavily on the national regulator for monitoring...there is no structure that allows them to be reporting monthly or quarterly to the director on what they have done,county monitoring structure,WSP performance visibility,Challenge
297,"committees who just do what they want, there is no transparency at all...management committees...can basically mismanage or misuse finances or resources of the institution and no one really holds them to account",accountability,committee financial mismanagement,Challenge
297,lack of professionalization especially in the rural water sector is a key challenge...The committees have been trained so many times by different actors but the challenges of poor scheme management exist,professionalization of rural water sector,scheme management quality,Challenge
297,the challenges of poor scheme management exist and these affect service delivery to a very large extent,scheme management quality,service delivery,Challenge
297,"county invests zero in the network replacement which is their role...asset renewal, asset replacement, asset extensions…I think that is very weak at the moment and...in the urban side you have networks that are very old, dilapidated",county investment in asset renewal,infrastructure quality,Challenge
297,"in the urban side you have networks that are very old, dilapidated and leave a leeway for water managers or water utilities to say that they are operating a network that is not optimum",infrastructure quality,water service delivery,Challenge
297,"they set up systems, set a tariff of 3 shillings...The cost of operating the systems are higher and then there are limitations to the amount of tariff you can set...If you have set a tariff of 3 shillings, then who covers the deficit?",tariff level,scheme cost recovery,Challenge
297,the sector has tended to over rely on the community management model...Training a community to be a service provider or a pump operator is never going to work. It is not a capacity issue I think it is a skills and professionalization issue.,reliance on community management model,O&M effectiveness,Solution
297,"you need someone to come in and fill in the role of a service provider which could be the WSPs, private enterprises or local young men who are graduates; you know, someone who has knowledge of water",professional service providers,O&M effectiveness,Solution
297,communities take up their role as users who can then hold service providers into account,community role as users,service provider accountability,Solution
297,there is need for the county to supplement user payments because the tariffs charged are not sufficient for most of the schemes,county supplementation of user payments,scheme financing sufficiency,Solution
297,there should be clear and proper systems of monitoring and reporting on performance for both the rural and urban sides,performance monitoring systems,service provider accountability,Solution
297,the county government needs to have indicators and measure performance of these water systems...you end up with the WSPs having to provide quality services,county performance indicators,WSP performance,Solution
297,the county government needs to have a mechanism that allows users to know their rights to agitate for their rights and to escalate their issues to the county government,consumer voice mechanism,service provider accountability,Solution
297,"users don't even know who to go to, they have no linkages to the county government...the water service provider does what they want so services continue being poor",user-county linkages,service provider performance,Challenge
297,"what we need is a vibrant or a robust county policy...a water bill/Act, a water policy and regulations that build in financing, monitoring, performance monitoring, accountability and governance",county water policy,sector governance,Solution
297,"Monitoring and performance management would come give the information...with that then you can be able to resolve issues, to have a discussion on the issues around financing, then with financing you can be able to resolve issues around accountability",performance monitoring,financing issue resolution,Solution
297,if you think of overreliance on the community management model for instance...it's not built in as a county policy that we will do this moving forward...the way to do that I think is through policy not necessarily preaching to the NGOs,county water policy,reliance on community management model,Solution
297,how do we make sure they work through the county so that they implement the county vision and be supportive to the county direction as opposed to going out there and doing what they think is right,NGO alignment with county vision,sector implementation coherence,Solution
297,The revenue collection efficiency is roughly 40%...for every single scheme we sign up then we are taking a 60% hit on revenues...An expansion does not necessarily add value...we have restricted our operations to Mwingi North,revenue collection efficiency,maintenance service expansion,Challenge
297,a governance issue and the monitoring issues and performance management issues...no one moves to these schemes to audit them and no one locks them up in police cells for misappropriating the money so then they don't pay us,scheme-level accountability,revenue collection efficiency,Challenge
297,the money we can collect from users cannot pay for the full cost of the service. We still need subsidies...user payments alone and community payments alone are not going to be enough to finance that,user payments alone,maintenance service cost coverage,Challenge
297,"a good model would be the county government contracting maintenance service providers to keep the sources working. That way, then we have guaranteed financing...it even reduces the transaction costs",county contracting of maintenance providers,maintenance financing sustainability,Solution
297,we have designed monitoring logs...we have shown the kiosk operators how to fill them out...kiosk attendants...don't fill the logs because it will show where the money is going,monitoring logs,scheme financial transparency,Solution
297,"If there was someone for example the sub-county water officer going round, you know jailing or locking up people who have stolen scheme money or kicking out committees that are not filling the logs then...people would fill them",sub-county water officer enforcement,scheme reporting compliance,Solution
298,Selecting a facility and getting people to own that facility is a challenge because the government won't be there to maintain the systems the challenge is largely selection of facilities and getting buy in from the community for them to own that facility.,project selection process,community ownership,Challenge
298,our failure to address community priorities... the community can tell you 'this is our need' and then you may fail to address their need... the community will not own it or maintain it.,addressing community priorities,community ownership,Challenge
298,"if as a technical person you go ahead and drill a borehole, while aware that its maintenance is a challenge, the community will not own it or maintain it. These issues are intertwined.",community ownership,facility maintenance,Challenge
298,some schemes may need local experts who can be the overseers of that project. You know we may have local operators but they are not paid.,local operator compensation,operation and maintenance,Challenge
298,"This is where outsourcing can come in handy and we can invest in building the capacity of the local operators such that if a system fails, they are able to respond in a timely manner.",outsourcing,local operator capacity building,Solution
298,"we can invest in building the capacity of the local operators such that if a system fails, they are able to respond in a timely manner.",local operator capacity,timely system failure response,Solution
298,"having the contractors do capacity building for a given time frame. Once contractors leave, the community just says that the facility is the contractors' – they do not think that they are the ones to be in charge of maintaining and managing it.",contractor capacity building,community ownership,Solution
298,"More investment needs to go into public participation to clearly identify what the community needs, to get community priorities even before the budgeting.",public participation in planning,community priority identification,Solution
298,We have to go to the community to get their priority interventions. It is easier for them to own projects once this procedure is followed.,community priority identification,project ownership,Solution
298,"otherwise organizations will be doing white elephant projects. The challenges will persist without this approach. You know, communities are key in this.",community priority identification,project sustainability,Solution
298,A solution to the maintenance challenges can be anchored onto a policy guideline by the government which should give clear direction on how things must be done.,policy guidelines,operation and maintenance,Solution
298,The other issue may be the dependence on external support to manage and maintain their facilities; they are not able to mobilize among themselves. The external dependency is too much.,external dependency,community self-mobilization,Challenge
298,the lack of community capacity building on how to maintain facilities. We may call it indigenous knowledge which they are able to use by themselves apart from relying on the external support.,community capacity building,facility maintenance,Solution
298,indigenous knowledge which they are able to use by themselves apart from relying on the external support.,indigenous knowledge,reliance on external support,Solution
298,"the policy guideline is most important. It will provide direction on project selection, community participation, handling of project technical aspects and such.",policy guidelines,project selection,Solution
298,"It will provide direction on project selection, community participation, handling of project technical aspects and such.",policy guidelines,community participation,Solution
298,"It will also dictate procedures and structures for operation and maintenance, community mobilization, reduction of dependency on external support and project ownership in general.",policy guidelines,community mobilization,Solution
298,"It will also dictate procedures and structures for operation and maintenance, community mobilization, reduction of dependency on external support and project ownership in general.",policy guidelines,external dependency,Solution
298,"It will also dictate procedures and structures for operation and maintenance, community mobilization, reduction of dependency on external support and project ownership in general.",policy guidelines,project ownership,Solution
298,"once a proper policy is in place, all other things will fall into place and sustainability will be achieved.",policy guidelines,water service sustainability,Solution
298,"the community water users' associations... this forms the committee which is mandated to do the coordination of the activity implementation, monitoring of the facility.",community water users' associations,facility monitoring,Solution
298,"after we are through with the facility, now we do the operation and maintenance training for them. That is what we have been doing.",operation and maintenance training,facility operation,Solution
298,village sales and loaning schemes whereby women groups come together and get loans to buy water tanks for each household... we are promoting access to credit.,access to credit,household water access,Solution
298,"We have a process we call the Participatory Vulnerability Capacity Assessment (PVCA). So, from this process we normally have a selection criterion for our target locations.",PVCA methodology,community needs identification,Solution
298,"In the PVCA methodology, there is also a component of community resources mapping. The community draws a map... that is where we interrogate… 'you have this river, what is your priority for this village?'",community resources mapping,project site selection,Solution
298,"we usually review all projects completed at the end of the year, as well as the recommendations from various consultants... This helps us decide our plans and the interventions we want to implement.",project reviews and lessons learned,intervention planning,Solution
299,"if you put up let's say a water point for drinking water, you leave a committee in place, train the committee, do all that is required but once you leave, those committee members will break up in less than two months' time",NGO presence,water committee cohesion,Challenge
299,those committee members will break up in less than two months' time... if you are not collecting any revenue from the water point then it becomes a challenge to maintain the system,water committee cohesion,revenue collection,Challenge
299,if you are not collecting any revenue from the water point then it becomes a challenge to maintain the system,revenue collection,system maintenance,Challenge
299,"for a borehole, if you were to move around Mwingi it's very hard for you to see a shop that is selling borehole equipment so if something breaks down the community has to go to Nairobi",local spare parts availability,repair delay,Challenge
299,"By the time they get the parts, the community that depends on the water point will surely have suffered",repair delay,community water access,Challenge
299,it comes in handy for both challenges because it solves the issue of spare parts as well as the issue of maintenance,FundiFix model,spare parts availability,Solution
299,"For FundiFix, it comes in handy for both challenges because it solves the issue of spare parts as well as the issue of maintenance",FundiFix model,system maintenance,Solution
299,I would request the County to come in and assist also in the maintenance of those water points,county government engagement,water point maintenance,Solution
299,I feel they are doing more of supplies than maintaining the systems that have been put up at the moment so I would request the County to come in and assist,county focus on supply over maintenance,water system sustainability,Challenge
299,for the government because of the processes and the bureaucracy repairs tend to take a very long time,government bureaucracy,repair timeliness,Challenge
299,"Adoption of the model is very important because it will make it such that the county will come in when it is necessary, in case of maybe very major breakdowns",FundiFix adoption,county engagement in major repairs,Solution
299,our projects are usually based on donor support and you know they last for three to four years and once you leave,donor-based NGO funding,project longevity,Challenge
299,"if you leave the community with such a model, I think there will be success... they incorporate FundiFix maybe in the 2nd and the 3rd year before you exit and then you bring in the community on board",FundiFix integration before NGO exit,water point sustainability,Solution
299,"you bring in the community on board, I think this will be a very good exit strategy when it comes to the sustainability of those water points",community engagement in water system,water point sustainability,Solution
299,this thing about leaving the water points to the community has proven to be a little bit of a challenge,community handover without sustainability model,water point sustainability,Challenge
299,some were going for 10 km and others for 6 km depending on the side of the village they live... we really felt we needed to put up a water system within that town,water source distance,water access burden,Challenge
299,The water ATM decision came about as a result of mismanagement of funds at the scheme level... customers used to pay them and the money ends up in their pockets and then once you need something no money is available,fund mismanagement at scheme level,water system maintenance,Challenge
299,customers used to pay them and the money ends up in their pockets and then once you need something no money is available,direct cash collection,fund misappropriation,Challenge
299,we had to separate the money from the community as a way of sustaining the water point because once the money is collected through an MPESA pay-bill number,water ATM with MPESA paybill,fund misappropriation,Solution
299,if something breaks down they are able to withdraw money from a Safaricom MPESA agent and then they get the spare parts that they require,MPESA paybill fund access,spare parts procurement,Solution
299,have a rule that requires them to have authorization from the water officer within the region to withdraw money... This can definitely deal with the misappropriation which is very common,fund withdrawal authorization by water officer,fund misappropriation,Solution
299,"In Mwingi we are doing sand dams... all the water that comes through during the rainy season was going down to Athi River and then to the Indian Ocean so... every other time it rains, water comes but then within the next month no water",sand dam construction,water retention,Solution
300,"This mismanagement creates a situation where the schemes cannot do any repairs, whether major or minor.",fund mismanagement,maintenance capacity,Challenge
300,They also begin relying on support from other parties and this is not sustainable.,fund mismanagement,external support dependency,Challenge
300,they don't want to be followed up by the county officers who ask about revenue collected... they also do not update us on their monthly operations – how much they have collected; how much they have spent and the balance.,committee financial reporting,county officer oversight,Challenge
300,they do not do minor repairs to the facilities. They neglect them until it reaches a point where the systems are totally broken down and they can no longer provide service to the community.,minor repairs,system breakdown,Challenge
